var,coef,ci_lo,ci_hi,pvalue,efeito_pct,modelo
bairro_Tabuleiro_dos_Oliveiras[T.True],1.2801484130821261,-0.27697507774320385,2.837271903907456,0.10699477957552998,259.71735535688,receita
bairro_Casa_Branca[T.True],-0.6783701071158582,-2.5055681154271197,1.1488279011954035,0.46644123403961807,-49.255660291092816,receita
bairro_Ilhota[T.True],-1.3138681677134234,-3.5030536206630867,0.8753172852362399,0.23917879642846293,-73.1221636824954,receita
bairro_Outros[T.True],-1.2493153704380633,-2.4994460332640704,0.0008152923879440888,0.0501493033127741,-71.32989863259913,receita
number_of_bedrooms,-0.342948201838381,-0.7229907948575756,0.037094391180813646,0.07689649459565238,-29.032502953300426,receita
number_of_guests,0.29454371849961275,0.14796274226869413,0.4411246947305314,8.613016847876809e-05,34.251365476948706,receita
n_amenities,0.005477156921127457,-0.01772677997966595,0.028681093821920862,0.6433138789735288,0.5492183967734097,receita
log_host_reviews,0.2728752367031009,0.09208626664045053,0.45366420676575125,0.003131107449441374,31.373632852397996,receita
log_reviews,0.3311357210845311,0.022037885873817165,0.640233556295245,0.03578179485124226,39.25487777136258,receita
star_rating,-0.8169838336793366,-2.55586655477796,0.9218988874192869,0.35675574638590485,-55.823792499497316,receita
Intercept,-3.12778436434343,-51.25982511132172,45.00425638263485,0.8985520987908837,-95.61852326512972,ocupacao
ar_condicionado[T.True],6.3900568975461125,-3.5863428657823837,16.366456660874608,0.20907150463411253,59489.04834297465,ocupacao
tv[T.True],8.685957113672478,-0.9748218351342608,18.346736062479216,0.07798027959483302,591820.3137538711,ocupacao
cozinha[T.True],2.3850693935858405,-5.712199615053358,10.48233840222504,0.5633765948597986,985.981624036405,ocupacao
vista_mar[T.True],1.8317816553181856,-1.5342564586827543,5.197819769319126,0.2858160209599441,524.5003195821143,ocupacao
elevador[T.True],-0.04204602432124166,-2.906136479570847,2.822044430928364,0.9770228770475226,-4.117434974278375,ocupacao
piscina[T.True],-1.48817108515007,-6.826693889940017,3.850351719639877,0.5844751831757959,-77.42147799063571,ocupacao
churrasqueira[T.True],-1.6512169588406278,-4.580453098156088,1.2780191804748327,0.2689078114504002,-80.8183666059171,ocupacao
academia[T.True],-0.9800278588236715,-7.4846626358630814,5.5246069182157385,0.7675465822800405,-62.469935672868445,ocupacao
varanda[T.True],-2.781973201969023,-5.447968095969037,-0.11597830796900954,0.040850076126408445,-93.80837864326811,ocupacao
is_superhost[T.True],2.155800546485415,-0.506008292018489,4.817609384989319,0.11230544359262155,763.4799971564133,ocupacao
flag_rating_missing[T.True],-4.044071312164235,-49.92490743786737,41.8367648135389,0.862709170054863,-98.24740267414266,ocupacao
is_professional[T.True],-2.883011006916923,-7.880778953148615,2.11475693931477,0.2578993793627866,-94.40340051167995,ocupacao
host_multi_listing[T.True],-1.9046606572942317,-4.750973455354129,0.9416521407656653,0.18943227755652936,-85.11268469299414,ocupacao
can_instant_book[T.True],2.531722124239668,-0.21665451715210837,5.280098765631445,0.07096051845021241,1157.5143459610665,ocupacao
bairro_Centro[T.True],0.4594476902426008,-3.0777403974312483,3.99663577791645,0.7988554820320357,58.31993270394229,ocupacao
bairro_Morretes[T.True],0.8090107432431082,-3.426331590309322,5.044353076795538,0.7078554218152998,124.56853280830597,ocupacao
bairro_Tabuleiro_dos_Oliveiras[T.True],6.472886189901318,-1.652110528109998,14.597882907912634,0.11828921425587928,64634.94066371008,ocupacao
